ngày yêu thương	nguyễn hồng ân	ngay-yeu-thuong-nguyen-hong-an
đợi em về	hà huy hoàng	doi-em-ve-ha-huy-hoang
táo quân	hoàng rapper	tao-quan-hoang-rapper
cõi nhớ	ái như	coi-nho-ai-nhu
thuyền và chiếc lá	huỳnh nhật đông	thuyen-va-chiec-la-huynh-nhat-dong
say tình, hoa hồng đêm	hà nhi	say-tinh-hoa-hong-dem-ha-nhi
mây khói	trịnh lam	may-khoi-trinh-lam
hóa thân mẹ	đông quân	hoa-than-me-dong-quan
giáng sinh vui	duy khoa	giang-sinh-vui-duy-khoa
tiếng dân ta	ngọc sáng	tieng-dan-ta-ngoc-sang
dệt những yêu thương	bigdaddy đoàn thúy trang	det-nhung-yeu-thuong-doan-thuy-trang-bigdaddy
bài tango ngày ấy	yên nhiên	bai-tango-ngay-ay-yen-nhien
đại gia ghiền cô tiên	thái hùng	dai-gia-ghien-co-tien-thai-hung
xuân tình miền tây	tiết duy hòa	xuan-tinh-mien-tay-tiet-duy-hoa
huế tình yêu của tôi	bích toàn kim phụng	hue-tinh-yeu-cua-toi-kim-phung-bich-toan
một thưở hè qua	việt quang	mot-thuo-he-qua-viet-quang
buồn tàn thu	lan ngọc	buon-tan-thu-lan-ngoc
điều quý giá hơn	nguyên vũ	dieu-quy-gia-hon-nguyen-vu
bài tango cho em	ân thiên vỹ	bai-tango-cho-em-an-thien-vy
xin hãy giữ em (hold me)	minh trang lyly	xin-hay-giu-em-hold-me-minh-trang-lyly
sao chẳng về với em	uyên linh	sao-chang-ve-voi-em-uyen-linh
mùa hạ và những chùm hoa nắng	trịnh nhật minh	mua-ha-va-nhung-chum-hoa-nang-trinh-nhat-minh
tôi...	khoa nhí	toi-khoa-nhi
thành phố tình yêu và nỗi nhớ	long nhật	thanh-pho-tinh-yeu-va-noi-nho-long-nhat
ngọn nến sinh nhật	hoàng hưng	ngon-nen-sinh-nhat-hoang-hung
yêu anh đi	benjamin hari y lâm nguyễn	yeu-anh-di-y-lam-nguyen-benjamin-hari
ánh trăng khuyết	quốc duy vy thúy vân	anh-trang-khuyet-vy-thuy-van-quoc-duy
ký ức hiện về	đoàn bá chí	ky-uc-hien-ve-doan-ba-chi
con yêu mẹ & mẹ yêu	b-rock	con-yeu-me-me-yeu-b-rock
mùa gió rét	akira phan	mua-gio-ret-akira-phan
người anh thầm yêu	lill shin	nguoi-anh-tham-yeu-lill-shin
lk: xuân mộng mơ	gia huy hồ ngọc thư thúy khanh	lk-xuan-mong-mo-thuy-khanh-gia-huy-ho-ngoc-thu
vật cản kìm chân	k.na	vat-can-kim-chan-k-na
nhìn bằng mắt nghe bằng tai khóc bằng tim	khánh đơn	nhin-bang-mat-nghe-bang-tai-khoc-bang-tim-khanh-don
tình yêu mới là người yêu cũ	lưu hưng	tinh-yeu-moi-la-nguoi-yeu-cu-luu-hung
yêu trọn từng phút giây	cao nhật quang	yeu-tron-tung-phut-giay-cao-nhat-quang
đúng là đàn bà hot	lâm chấn huy	dung-la-dan-ba-hot-lam-chan-huy
mong chờ lối xưa	giang hồng ngọc	mong-cho-loi-xua-giang-hong-ngoc
mùa hè nhiệt đới	mây trắng	mua-he-nhiet-doi-may-trang
ký túc xá chiều mưa	lâm hùng	ky-tuc-xa-chieu-mua-lam-hung
cô gái đến từ hôm qua	hòa mi	co-gai-den-tu-hom-qua-hoa-mi
còn trách nhau làm gì	hồ lệ thu	con-trach-nhau-lam-gi-ho-le-thu
nghĩa nặng ơn thầy	chí viễn	nghia-nang-on-thay-chi-vien
lỡ duyên	bảo vân	lo-duyen-bao-van
tình ca sĩ	ngọc lan	tinh-ca-si-ngoc-lan
em từng nói	kelvin khánh	em-tung-noi-kelvin-khanh
liêu xiêu đường tình	bảo hưng miền tây như hoa	lieu-xieu-duong-tinh-bao-hung-mien-tay-nhu-hoa
nhớ mẹ nơi thiên đường	lê ngọc thúy	nho-me-noi-thien-duong-le-ngoc-thuy
vì em cố chấp	lương bích hữu	vi-em-co-chap-luong-bich-huu
sau mỗi mùa hoa	cassette đỏ	sau-moi-mua-hoa-cassette-do
thoáng thấy anh	hồng mơ	thoang-thay-anh-hong-mo
chỉ là một lựa chọn	hồ minh quân	chi-la-mot-lua-chon-ho-minh-quan
tốt hơn cho chúng ta	kang ha neul wanbi tuấn anh	tot-hon-cho-chung-ta-wanbi-tuan-anh-kang-ha-neul
sông đăk rông mùa xuân về	hoàng hải đăng	song-dak-rong-mua-xuan-ve-hoang-hai-dang
hoa chùm gởi	ngọc huyền	hoa-chum-goi-ngoc-huyen
làm dâu xứ người	đinh thiên hương	lam-dau-xu-nguoi-dinh-thien-huong
em không thể thiếu anh	giáng ngọc	em-khong-the-thieu-anh-giang-ngoc
nước mắt biệt ly	đỗ tú tài	nuoc-mat-biet-ly-do-tu-tai
lk không còn nhớ người yêu	đào phi dương	lk-khong-con-nho-nguoi-yeu-dao-phi-duong
liên khúc: mưa chiều kỷ niệm, định mệnh	bằng kiều minh tuyết	lien-khuc-mua-chieu-ky-niem-dinh-menh-bang-kieu-minh-tuyet
nỗi đau ngự trị	âu thiên huy	noi-dau-ngu-tri-au-thien-huy
sài gòn về đêm	thanh thúy	sai-gon-ve-dem-thanh-thuy
chờ định mệnh mĩm cười	k sor ka	cho-dinh-menh-mim-cuoi-k-sor-ka
hà nội hoàng hôn xanh	quang lý	ha-noi-hoang-hon-xanh-quang-ly
bống bồng ơi	trịnh vĩnh trinh	bong-bong-oi-trinh-vinh-trinh
mãi không thuộc về nhau	triệu thy ân	mai-khong-thuoc-ve-nhau-trieu-thy-an
sài gòn buổi sáng cafe	hồ cẩm nghi	sai-gon-buoi-sang-cafe-ho-cam-nghi
con chuồn đỏ ngày xưa	cao duy	con-chuon-do-ngay-xua-cao-duy
cảm ơn đời cảm ơn em	a điêm	cam-on-doi-cam-on-em-a-diem
lạc lõng intro	v-ray	lac-long-intro-v-ray
bài ca này cho em	huỳnh lộc	bai-ca-nay-cho-em-huynh-loc
ngẫu hứng sông hồng	anh thơ	ngau-hung-song-hong-anh-tho
ân tình chưa phai	bằng kiều	an-tinh-chua-phai-bang-kieu
những giọt nắng phai	trâm anh	nhung-giot-nang-phai-tram-anh
đêm trăng tình yêu	đinh khải anh	dem-trang-tinh-yeu-dinh-khai-anh
tiểu thư cá tính (kotex style bye bye label)	chi pu	tieu-thu-ca-tinh-kotex-style-bye-bye-label-chi-pu
ánh sao tình yêu	1088	anh-sao-tinh-yeu-1088
quý bà đại gia	trung thảo	quy-ba-dai-gia-trung-thao
hãy để anh từng là chính anh	lý hoàng	hay-de-anh-tung-la-chinh-anh-ly-hoang
nước mắt hóa đá	lương bích hữu	nuoc-mat-hoa-da-luong-bich-huu
níu lấy yêu thương	ken nguyễn	niu-lay-yeu-thuong-ken-nguyen
đêm miền trung	magic tk	dem-mien-trung-magic-tk
tôi chỉ là số không	lê công hải	toi-chi-la-so-khong-le-cong-hai
lk: câu chuyện đầu năm	dương đình trí nsưt thanh ngân	lk-cau-chuyen-dau-nam-nsut-thanh-ngan-duong-dinh-tri
thương về cố đô	lương gia huy	thuong-ve-co-do-luong-gia-huy
mùa xuân vui cưới	hoàng tú minh	mua-xuan-vui-cuoi-hoang-tu-minh
tâm sự người bảo trì	sang bùi	tam-su-nguoi-bao-tri-sang-bui
thức giấc	khánh linh	thuc-giac-khanh-linh
lk cây đàn bỏ quên & đập vỡ cây đàn	hạ vy	lk-cay-dan-bo-quen-dap-vo-cay-dan-ha-vy
em gái cafe	lý hải	em-gai-cafe-ly-hai
tiền hip hop	lương gia huy	tien-hip-hop-luong-gia-huy
lối nào về tim tôi	lý hải	loi-nao-ve-tim-toi-ly-hai
bạn bè vẫn nhớ vẫn thương	trần phi sơn	ban-be-van-nho-van-thuong-tran-phi-son
xin cho mãi yêu	khắc việt	xin-cho-mai-yeu-khac-viet
vững tin	hà thế dũng	vung-tin-ha-the-dung
mashup nóng	the passion band	mashup-nong-the-passion-band
chỉ có thể là mẹ	lê minh trung	chi-co-the-la-me-le-minh-trung
vì em sai rồi	thu thủy	vi-em-sai-roi-thu-thuy
đóa hoa hồng (queen)	chi pu masew	doa-hoa-hong-queen-chi-pu-masew
bài hát cho người kỹ nữ	hồng gấm	bai-hat-cho-nguoi-ky-nu-hong-gam
chuyện con trai con gái	vũ trâm anh đoàn việt phương	chuyen-con-trai-con-gai-doan-viet-phuong-vu-tram-anh
niềm yêu khác	vũ cát tường	niem-yeu-khac-vu-cat-tuong
cùng nhịp đập	da lab	cung-nhip-dap-da-lab
mùa đông lạnh và chia tay	luna band	mua-dong-lanh-va-chia-tay-luna-band
xin đừng yêu anh	trần khánh	xin-dung-yeu-anh-tran-khanh
mashup: muộn màng - đừng vội xa	sơn ngọc minh	mashup-muon-mang-dung-voi-xa-son-ngoc-minh
lời hát vòng nước xoáy	ngọc khuê	loi-hat-vong-nuoc-xoay-ngoc-khue
cố quên nhưng không thể	nguyễn kha thi	co-quen-nhung-khong-the-nguyen-kha-thi
đừng mặc nhầm áo cưới	du thiên	dung-mac-nham-ao-cuoi-du-thien
phủ phàng	châu gia kiệt	phu-phang-chau-gia-kiet
con ghẻ	thúy hằng hana	con-ghe-thuy-hang-hana
khúc tự tình mùa xuân	tuyết mai	khuc-tu-tinh-mua-xuan-uyen-nguyen
nếu em muốn ra đi	nhật cường	neu-em-muon-ra-di-nhat-cuong
mai tôi đi	dương thiện lâm	mai-toi-di-duong-thien-lam
thuyền giấy	thu phương	thuyen-giay-thu-phuong
uyên ương hồ điệp	minh thuận	uyen-uong-ho-diep-minh-thuan
vững bước	hoàng rapper đoàn di băng	vung-buoc-doan-di-bang-hoang-rapper
lời ru, bú mớm, nâng niu	thái hiền	loi-ru-bu-mom-nang-niu-thai-hien
người ra đi vì ai	khánh phương	nguoi-ra-di-vi-ai-khanh-phuong
con rồng cháu tiên	jimmii nguyễn	con-rong-chau-tien-jimmii-nguyen
cả nhà thương nhau	bé băng châu	ca-nha-thuong-nhau-be-bang-chau
bước trong mưa	365daband	buoc-trong-mua-365daband
soái ca (super hero acoustic)	bảo uyên	soai-ca-super-hero-acoustic-bao-uyen
nhớ em lắm	vương bảo khang	nho-em-lam-vuong-bao-khang
cuộc sống ơi! ta mến yêu người	trần tiến	cuoc-song-oi-ta-men-yeu-nguoi-tran-tien
lk ngũ long công chúa	ngũ long công chúa	lk-ngu-long-cong-chua-ngu-long-cong-chua
giọt buồn để lại	phương linh	giot-buon-de-lai-phuong-linh
đêm say tình	mira	dem-say-tinh-mira
ôi nhiệm mầu	lệ hằng	oi-nhiem-mau-le-hang
đêm đô thị (cô ba sài gòn ost)	phương vy	dem-do-thi-co-ba-sai-gon-ost-phuong-vy
điệu lý duyên tình	mai phương thảo trần xuân	dieu-ly-duyen-tinh-mai-phuong-thao-tran-xuan
a ă â	đỗ tuyết nhi	a-a-a-do-tuyet-nhi
mùa xuân tình yêu	hoàng hoa	mua-xuan-tinh-yeu-hoang-hoa
yêu chị hai lúa	lâm tuấn anh	yeu-chi-hai-lua-lam-tuan-anh
nhật ký đời tôi	thu cúc	nhat-ky-doi-toi-thu-cuc
lk vầng trăng đêm trôi	lý diệu linh	lk-vang-trang-dem-troi-ly-dieu-linh
tình theo ngọn gió	lệ quyên	tinh-theo-ngon-gio-le-quyen
xin thành tâm sám hối	đan phương	xin-thanh-tam-sam-hoi-dan-phuong
tinh buồn ngoại ô	huỳnh nguyễn công bằng	tinh-buon-ngoai-o-huynh-nguyen-cong-bang
việt nam vô địch	nhiều nghệ sĩ	viet-nam-vo-dich-kimagent-da-fame-huymxg-69klub
em bé giải phóng quân	bé bảo an	em-be-giai-phong-quan-be-bao-an
giọt lệ của lá	lê kiều như	giot-le-cua-la-le-kieu-nhu
dịu dàng đến từng phút giây, như vẫn còn đây	hương giang mai tiến dũng	diu-dang-den-tung-phut-giay-nhu-van-con-day-mai-tien-dung-huong-giang
hello sinh viên	nam du	hello-sinh-vien-nam-du
cám ơn người đã bỏ ta đi	pha lê	cam-on-nguoi-da-bo-ta-di-pha-le
ngày anh trở về	hoàng cường	ngay-anh-tro-ve-hoang-cuong
hạnh phúc là tuổi thơ	nguyễn đức quang	hanh-phuc-la-tuoi-tho-nguyen-duc-quang
mùa thu không trở lại	hoàng hưng	mua-thu-khong-tro-lai-hoang-hung
anh không muốn làm người lạ	dương nhất linh la nhật tiến	anh-khong-muon-lam-nguoi-la-duong-nhat-linh-la-nhat-tien
có thể ta mỉm cười	cao luân vũ	co-the-ta-mim-cuoi-cao-luan-vu
nắng bốn mùa	bé bảo an	nang-bon-mua-be-bao-an
phái em lý ngựa ô	khánh duy nhã ca	phai-em-ly-ngua-o-khanh-duy-nha-ca
với em anh không là tất cả	trương khánh hải	voi-em-anh-khong-la-tat-ca-truong-khanh-hai
sinh ra là để cô đơn	trương linh đan	sinh-ra-la-de-co-don-truong-linh-dan
phút giây kỷ niệm	điền thái toàn	phut-giay-ky-niem-dien-thai-toan
ngủ sớm anh nhé	yunjboo	ngu-som-anh-nhe-yunjboo
đông tàn	bằng cường	dong-tan-bang-cuong
không làm vợ khóc	linh hee	khong-lam-vo-khoc-linh-hee
yêu em nhiều lắm	nguyễn đình vũ	yeu-em-nhieu-lam-nguyen-dinh-vu
ngày ðó là mơ	như loan	ngay-o-la-mo-nhu-loan
sai một li (#sml)	trần ngọc ánh	sai-mot-li-sml-tran-ngoc-anh
thà ta đừng quen nhau	lâm chu min	tha-ta-dung-quen-nhau-lam-chu-min
chuyện người con gái hái sim	như bình	chuyen-nguoi-con-gai-hai-sim-nhu-binh
dòng đời trôi mãi	đan trường	dong-doi-troi-mai-dan-truong
yêu sao cô gái vùng cao	trung anh	yeu-sao-co-gai-vung-cao-trung-anh
yêu thôi mà em	trương thế vinh	yeu-thoi-ma-em-truong-the-vinh
mãi một tình quê	uy huy thái	mai-mot-tinh-que-uy-huy-thai
người ấy chưa biết	dương minh tuấn	nguoi-ay-chua-biet-duong-minh-tuan
lạc trong giấc mơ	huỳnh lộc	lac-trong-giac-mo-huynh-loc
bảng cấm tình yêu	sỹ ben	bang-cam-tinh-yeu-sy-ben
ta mất nhau	cao đại hưng	ta-mat-nhau-cao-dai-hung
nhẫn cỏ cho em	tường nguyên	nhan-co-cho-em-tuong-nguyen
cafe đắng	thiên kim	cafe-dang-thien-kim
tình tan vào mơ	dương thiện lâm	tinh-tan-vao-mo-duong-thien-lam
tôi là người ích kỷ	lưu chấn long	toi-la-nguoi-ich-ky-luu-chan-long
mở lối con tim	châu phương kỳ	mo-loi-con-tim-chau-phuong-ky
vì anh đâu có biết	thảo chi	vi-anh-dau-co-biet-thao-chi
em hãy quay về	hoàng nhật anh	em-hay-quay-ve-hoang-nhat-anh
sống trọn cho nhau	thanh bùi	song-tron-cho-nhau-thanh-bui
gọi tên mỗi ngày	hamlet trương	goi-ten-moi-ngay-hamlet-truong
có phải em đã hết yêu anh	thiên trường	co-phai-em-da-het-yeu-anh-thien-truong
tình buồn ngoại ô	hoàng nhật thái	tinh-buon-ngoai-o-hoang-nhat-thai
hãy rời xa nhau	đỗ tùng lâm	hay-roi-xa-nhau-do-tung-lam
ước mưa	kiều phạm	uoc-mua-kieu-pham
tạm biệt anh	đàm thu trang	tam-biet-anh-dam-thu-trang
chờ cơn mưa	song yến trịnh thăng bình	cho-con-mua-trinh-thang-binh-song-yen
ta với tôi	javix lynk lee	ta-voi-toi-javix-lynk-lee
dành tặng cho em	trần thái	danh-tang-cho-em-tran-thai
café ruộng	trường sơn	cafe-ruong-truong-son
tình chỉ là thoáng qua	khánh thi quang vinh	tinh-chi-la-thoang-qua-quang-vinh-khanh-thi
tình đã xa mãi	quỳnh thy	tinh-da-xa-mai-quynh-thy
ông bụt	đoàn phi	ong-but-doan-phi
trích đoạn: vụ án mã ngưu	phú tiến phú	trich-doan-vu-an-ma-nguu-phu-tien-phu
thương nhau nhé	thùy chi đức phúc	thuong-nhau-nhe-duc-phuc-thuy-chi
gửi người yêu dấu	nhất thiên bảo	gui-nguoi-yeu-dau-nhat-thien-bao
diễm xưa (over the old tower)	huy mc	diem-xua-over-the-old-tower-huy-mc
hồng nhan vô phận	âu thiên khánh	hong-nhan-vo-phan-au-thien-khanh
tình câm nín	trần khánh	tinh-cam-nin-tran-khanh
sẽ mãi yêu em	biển xanh	se-mai-yeu-em-bien-xanh
mây chiều	lâm nhật thanh	may-chieu-lam-nhat-thanh
chúng ta chia tay	tuấn wao uriboo	chung-ta-chia-tay-uriboo-tuan-wao
liên khúc bảo hưng miền tây	bảo hưng miền tây	lien-khuc-bao-hung-mien-tay-bao-hung
nếu không gặp nhau	dream high	neu-khong-gap-nhau-dream-high
tình đã bay xa	hồ quang hiếu	tinh-da-bay-xa-ho-quang-hieu
lk nhớ nhau hoài & cho người vào cuộc chiến	mai thiên vân quang lê	lk-nho-nhau-hoai-cho-nguoi-vao-cuoc-chien-quang-le-mai-thien-van
ôi giấc mơ xưa	mai hoa ((diễn viên))	oi-giac-mo-xua-mai-hoa
người trong giang hồ	doll phan hiếu	nguoi-trong-giang-ho-doll-phan-hieu
câu chuyện	pink frog	cau-chuyen-pink-frog
ước mơ của tôi	bức tường	uoc-mo-cua-toi-buc-tuong
đứng sau một người	yuki huy nam	dung-sau-mot-nguoi-yuki-huy-nam
người ta	bảo nam	nguoi-ta-bao-nam
bản tình ca mùa đông cuối cùng	khang luân	ban-tinh-ca-mua-dong-cuoi-cung-khang-luan
kỷ niệm tuổi học trò	black lê	ky-niem-tuoi-hoc-tro-black-le
con cò đi xa	tika tùng anh v.p	con-co-di-xa-tika-tung-anh-v-p
việt nam thân thương (wonderful việt nam)	v.music new	viet-nam-than-thuong-wonderful-viet-nam-v-music-new
ai dậy sớm	bé kim hồng	ai-day-som-be-kim-hong
liên khúc mừng xuân	nhiều nghệ sĩ	lien-khuc-mung-xuan-thanh-ngoc-cuong-dc-dong-quan-bao-nhu
âm thầm yêu	trần tuấn lương	am-tham-yeu-tran-tuan-luong
tại ai	châu thế anh	tai-ai-chau-the-anh
mùa xuân có em	giang trường	mua-xuan-co-em-giang-truong
mẹ bảo anh rằng	quang lê	me-bao-anh-rang-quang-le
mắt nai cha cha cha	tú quyên	mat-nai-cha-cha-cha-tu-quyen
nỗi đau em cho tôi	khánh tài	noi-dau-em-cho-toi-khanh-tai
chờ đợi người xưa	băng tình	cho-doi-nguoi-xua-bang-tinh
chợ đêm miền tây	nguyễn thị luận tô tấn loan	cho-dem-mien-tay-to-tan-loan-nguyen-thi-luan
tình mãi trong mơ	nhật nguyệt band	tinh-mai-trong-mo-nhat-nguyet-band
nhưng anh vẫn tin	279 band	nhung-anh-van-tin-279-band
đường xa ướt mưa	đàm vĩnh hưng	duong-xa-uot-mua-dam-vinh-hung
con nhái bầu	bảo hưng miền tây	con-nhai-bau-bao-hung
thành phố vắng anh	phương anh	thanh-pho-vang-anh-phuong-anh
mơ tình	ngọc sơn	mo-tinh-ngoc-son
một lần nào cho tôi gặp lại anh	lady phương thùy	mot-lan-nao-cho-toi-gap-lai-anh-lady-phuong-thuy
tình bọt nước	hoàng tuấn	tinh-bot-nuoc-hoang-tuan
kẻ lạ mặt	quái vật tí hon	ke-la-mat-quai-vat-ti-hon
ngày không vội vã	quang vinh	ngay-khong-voi-va-quang-vinh
nhớ mãi người mẹ	lm. quang lâm	nho-mai-nguoi-me-lm-quang-lam
hạnh phúc khi anh có em	dương an	hanh-phuc-khi-anh-co-em-duong-an
vong xuyên	lee phú quý	vong-xuyen-lee-phu-quy
bờm	thanh tâm	bom-thanh-tam
bác vẫn bên ta	nsnd lê dung	bac-van-ben-ta-le-dung
sẽ không còn ân hận	triệu hoàng	se-khong-con-an-han-trieu-hoang
hái trộm hoa rừng	hoàng ái my	hai-trom-hoa-rung-hoang-ai-my
sinh nhật không hoa	thúy uyên	sinh-nhat-khong-hoa-thuy-uyen
tiến về hà nội	ánh tuyết	tien-ve-ha-noi-anh-tuyet
anh không ngờ	lưu gia thắng	anh-khong-ngo-luu-gia-thang
trằn trọc	hà thái hoàng lưu chí vỹ	tran-troc-ha-thai-hoang-luu-chi-vy
mùa xuân bên nhau	linh nguyễn	mua-xuan-ben-nhau-linh-nguyen
xin người trả lại cho tôi	la chấn kiệt	xin-nguoi-tra-lai-cho-toi-la-chan-kiet
cánh diều khát khao	dược sĩ tiến	canh-dieu-khat-khao-duoc-si-tien
tỉnh giấc sau giấc mộng dài	trương lệ vân	tinh-giac-sau-giac-mong-dai-truong-le-van
giấc mộng thời trai	lam trường	giac-mong-thoi-trai-lam-truong
đêm định mệnh	đăng vinh	dem-dinh-menh-dang-vinh
bóng bóng bang bang	bé candy ngọc hà	bong-bong-bang-bang-be-candy-ngoc-ha
đốt lá mùa thu	mỹ dung	dot-la-mua-thu-my-dung
mai anh đào	tùng nguyễn	mai-anh-dao-tung-nguyen
như vậy sao	dandee jayden nt	nhu-vay-sao-nt-dandee-jayden
ngày này năm sau	nguyễn phi hùng	ngay-nay-nam-sau-nguyen-phi-hung
nếu anh về bên em	loan châu trúc linh – trúc lam	neu-anh-ve-ben-em-loan-chau-truc-linh-truc-lam
người tương tư	kaypy	nguoi-tuong-tu-kaypy
câu chuyện giận hờn	trish thùy trang	cau-chuyen-gian-hon-trish-thuy-trang
nữa đêm thương nhớ	lý thanh thảo	nua-dem-thuong-nho-ly-thanh-thao
đại tây nam	g5r squad jombie	dai-tay-nam-g5r-squad-jombie
đời và em	yamix	doi-va-em-yamix
gần bên anh	đức thuận	gan-ben-anh-duc-thuan
yêu em quay cuồng	đan trường	yeu-em-quay-cuong-dan-truong
lời chân thành (suối nguồn từ bi)	nsưt thanh ngân	loi-chan-thanh-suoi-nguon-tu-bi-nsut-thanh-ngan
hãy là một kỷ niệm	anh quốc	hay-la-mot-ky-niem-anh-quoc
giòng sông tuổi ngọc	thiên trang	giong-song-tuoi-ngoc-thien-trang
quá nhiều	ưng đại vệ	qua-nhieu-ung-dai-ve
anh không vui chơi đâu	kyo suzie	anh-khong-vui-choi-dau-kyo-suzie
đừng khóc để anh vui	nguyên khôi	dung-khoc-de-anh-vui-nguyen-khoi
ở trường cô dạy em thế	bé khánh minh	o-truong-co-day-em-the-be-khanh-minh
trở về cát bụi	đình phước	tro-ve-cat-bui-dinh-phuoc
đành quên ký ức	g.y.m band	danh-quen-ky-uc-g-y-m-band
bến vắng đò xưa	diệp hoài ngọc vũ tuấn	ben-vang-do-xua-diep-hoai-ngoc-vu-tuan
xin hãy quên tôi	ngọc sơn	xin-hay-quen-toi-ngoc-son
với anh em là tất cả	ken nguyễn	voi-anh-em-la-tat-ca-ken-nguyen
yêu mãi xuân ơi	tiêu châu như quỳnh	yeu-mai-xuan-oi-tieu-chau-nhu-quynh
người hoàn lương	huyền thoại	nguoi-hoan-luong-huyen-thoai
đến khi nào vơi	mai tiến dũng	den-khi-nao-voi-mai-tien-dung
liên khúc: gạt đi nước mắt	trịnh tú trung	lien-khuc-gat-di-nuoc-mat-trinh-tu-trung-various-artists
tóc dài em bỏ đi đâu	anh khôi thư lê	toc-dai-em-bo-di-dau-thu-le-anh-khoi
niềm vui đơn côi - cỏ úa	elvis phương ái vân	niem-vui-don-coi-co-ua-ai-van-elvis-phuong
ánh trăng hiểu lòng tôi	nsut lê hồng thắm	anh-trang-hieu-long-toi-nsut-le-hong-tham
khẽ nói rằng anh yêu em	khắc minh	khe-noi-rang-anh-yeu-em-khac-minh
trái tim âm nhạc	5 dòng kẻ	trai-tim-am-nhac-5-dong-ke
ánh đèn màu	bông mai	anh-den-mau-bong-mai
còn mình em	trang nhung	con-minh-em-trang-nhung
lk vọng kim lang	hoàng mai trang	lk-vong-kim-lang-hoang-mai-trang
trở về nơi ta hẹn nhau	khởi my mun phạm	tro-ve-noi-ta-hen-nhau-khoi-my-mun-pham
lời hứa không thành	trương ỹ vân	loi-hua-khong-thanh-truong-y-van
tháng giêng hò hẹn	phương thùy	thang-gieng-ho-hen-phuong-thuy
dù chỉ là giấc mơ	ngọc bảo anh	du-chi-la-giac-mo-ngoc-bao-anh
mang dép vào và đi	eddykey mct2k wsk	mang-dep-vao-va-di-eddykey-mct2k-wsk
lệ đắng tình yêu	nhạc lam phong uyên trang	le-dang-tinh-yeu-uyen-trang-nhac-lam-phong
khi ta nằm xuống	quách thành danh	khi-ta-nam-xuong-quach-thanh-danh
thương tôi	vân shi	thuong-toi-van-shi
bạn thân anh là đây	khang việt	ban-than-anh-la-day-khang-viet
còn mãi mùa đông	phương thanh	con-mai-mua-dong-phuong-thanh
hoài bão	kimmese	hoai-bao-kimmese
nóng	bigdaddy hạnh sino	nong-bigdaddy-hanh-sino
trong cuộc tình sầu	minh cảnh phượng liên	trong-cuoc-tinh-sau-minh-canh-phuong-lien
hãy đến với tôi	tam ca áo trắng	hay-den-voi-toi-tam-ca-ao-trang
phút chốc sai lầm	chu bin	phut-choc-sai-lam-chu-bin
tôi đâu rồi	nhím stone	toi-dau-roi-nhim-stone
chưa tròn giấc mơ	khánh ly	chua-tron-giac-mo-khanh-ly
ngàn vì sao ngàn nỗi nhớ	phùng ngọc huy	ngan-vi-sao-ngan-noi-nho-phung-ngoc-huy
mãi mãi anh yêu em	tâm đức tài	mai-mai-anh-yeu-em-tam-duc-tai
bằng một cách nào đó	huỳnh hiền năng	bang-mot-cach-nao-do-huynh-hien-nang
ánh trăng thề	triệu phong	anh-trang-the-trieu-phong
không còn nhau	hồ quang hiếu miu lê	khong-con-nhau-miu-le-ho-quang-hieu
nhặt lại mảnh vỡ	jc hưng kelvin khánh	nhat-lai-manh-vo-kelvin-khanh-jc-hung
chuyện tình không suy tư	đàm vĩnh hưng	chuyen-tinh-khong-suy-tu-dam-vinh-hung
xin cám ơn tình em	tống gia vỹ	xin-cam-on-tinh-em-tong-gia-vy
anh nhớ em nhiều lắm	cao thanh phúc	anh-nho-em-nhieu-lam-cao-thanh-phuc
cô gái nhà người ta	huyền pk	co-gai-nha-nguoi-ta-huyen-pk
bến thượng hải	hoàng kim	ben-thuong-hai-hoang-kim
phiến đá buồn	artista band	phien-da-buon-artista-band
phải làm sao để anh hết yêu em	hà chí tường	phai-lam-sao-de-anh-het-yeu-em-ha-chi-tuong
hãy nói lời yêu em	nhật hào	hay-noi-loi-yeu-em-nhat-hao
con nợ thầy lời xin lỗi	phú luân	con-no-thay-loi-xin-loi-phu-luan
hạnh phúc khi đã tổn thương	khánh phương	hanh-phuc-khi-da-ton-thuong-khanh-phuong
đêm nhớ người tình	phi nhung	dem-nho-nguoi-tinh-phi-nhung
đời sẽ về đâu	khánh trần rio	doi-se-ve-dau-khanh-tran-rio
liên khúc: lời tỏ tình dễ thương	ngọc hải ngọc sơn	lien-khuc-loi-to-tinh-de-thuong-ngoc-son-ngoc-hai
hãy để em giữ trong tim	triệu hồng ngọc	hay-de-em-giu-trong-tim-trieu-hong-ngoc
cô gái mù	bức tường	co-gai-mu-buc-tuong
mùa xuân có nhau	đan trường	mua-xuan-co-nhau-dan-truong
không còn người xưa	anh quân bolero	khong-con-nguoi-xua-anh-quan-bolero
người lớn không khóc	hamlet trương	nguoi-lon-khong-khoc-hamlet-truong
lk đàn bà - trái tim mùa đông	hàn thái tú	lk-dan-ba-trai-tim-mua-dong-han-thai-tu
sai nắng (crush)	s.t sơn thạch seachains	sai-nang-crush-s-t-son-thach-seachains
ngựa hồng trên đồi cỏ non	ánh tuyết	ngua-hong-tren-doi-co-non-anh-tuyet
em có mơ đêm nay	hoàng thiên minh trị trungg i.u	em-co-mo-dem-nay-hoang-thien-minh-tri-trungg-i-u
đã mãi cách xa	đông nhi	da-mai-cach-xa-dong-nhi
bản tình ca của chàng nhạc sĩ	hồng xương long	ban-tinh-ca-cua-chang-nhac-si-hong-xuong-long
